ArraySize,Cutoff,ThreadCount,AverageTime(ms)
2000000,100000,2,68
2000000,200000,2,59
2000000,300000,2,57
2000000,400000,2,57
2000000,500000,2,57
2000000,600000,2,55
2000000,700000,2,56
2000000,800000,2,56
2000000,900000,2,56
2000000,1000000,2,56
2000000,1100000,2,55
2000000,1200000,2,55
2000000,1300000,2,56
2000000,1400000,2,55
2000000,1500000,2,55
2000000,1600000,2,55
2000000,1700000,2,55
2000000,1800000,2,55
2000000,1900000,2,55
2000000,100000,4,60
2000000,200000,4,59
2000000,300000,4,58
2000000,400000,4,57
2000000,500000,4,57
2000000,600000,4,56
2000000,700000,4,56
2000000,800000,4,56
2000000,900000,4,56
2000000,1000000,4,56
2000000,1100000,4,55
2000000,1200000,4,55
2000000,1300000,4,55
2000000,1400000,4,55
2000000,1500000,4,55
2000000,1600000,4,55
2000000,1700000,4,55
2000000,1800000,4,55
2000000,1900000,4,55
2000000,100000,8,60
2000000,200000,8,58
2000000,300000,8,57
2000000,400000,8,57
2000000,500000,8,58
2000000,600000,8,56
2000000,700000,8,57
2000000,800000,8,56
2000000,900000,8,56
2000000,1000000,8,57
2000000,1100000,8,55
2000000,1200000,8,55
2000000,1300000,8,55
2000000,1400000,8,55
2000000,1500000,8,56
2000000,1600000,8,55
2000000,1700000,8,55
2000000,1800000,8,55
2000000,1900000,8,55
2000000,100000,16,60
2000000,200000,16,58
2000000,300000,16,57
2000000,400000,16,57
2000000,500000,16,57
2000000,600000,16,56
2000000,700000,16,57
2000000,800000,16,56
2000000,900000,16,56
2000000,1000000,16,56
2000000,1100000,16,55
2000000,1200000,16,55
2000000,1300000,16,55
2000000,1400000,16,55
2000000,1500000,16,55
2000000,1600000,16,55
2000000,1700000,16,55
2000000,1800000,16,55
2000000,1900000,16,55
4000000,200000,2,125
4000000,400000,2,123
4000000,600000,2,121
4000000,800000,2,121
4000000,1000000,2,120
4000000,1200000,2,118
4000000,1400000,2,118
4000000,1600000,2,117
4000000,1800000,2,118
4000000,2000000,2,117
4000000,2200000,2,116
4000000,2400000,2,115
4000000,2600000,2,115
4000000,2800000,2,115
4000000,3000000,2,115
4000000,3200000,2,117
4000000,3400000,2,116
4000000,3600000,2,115
4000000,3800000,2,116
4000000,200000,4,125
4000000,400000,4,123
4000000,600000,4,120
4000000,800000,4,121
4000000,1000000,4,120
4000000,1200000,4,117
4000000,1400000,4,118
4000000,1600000,4,118
4000000,1800000,4,118
4000000,2000000,4,118
4000000,2200000,4,115
4000000,2400000,4,115
4000000,2600000,4,115
4000000,2800000,4,115
4000000,3000000,4,116
4000000,3200000,4,116
4000000,3400000,4,115
4000000,3600000,4,114
4000000,3800000,4,115
4000000,200000,8,130
4000000,400000,8,123
4000000,600000,8,120
4000000,800000,8,120
4000000,1000000,8,120
4000000,1200000,8,117
4000000,1400000,8,117
4000000,1600000,8,118
4000000,1800000,8,117
4000000,2000000,8,118
4000000,2200000,8,115
4000000,2400000,8,116
4000000,2600000,8,115
4000000,2800000,8,116
4000000,3000000,8,115
4000000,3200000,8,115
4000000,3400000,8,116
4000000,3600000,8,115
4000000,3800000,8,116
4000000,200000,16,125
4000000,400000,16,122
4000000,600000,16,120
4000000,800000,16,119
4000000,1000000,16,120
4000000,1200000,16,117
4000000,1400000,16,117
4000000,1600000,16,118
4000000,1800000,16,117
4000000,2000000,16,118
4000000,2200000,16,115
4000000,2400000,16,116
4000000,2600000,16,116
4000000,2800000,16,116
4000000,3000000,16,115
4000000,3200000,16,115
4000000,3400000,16,116
4000000,3600000,16,116
4000000,3800000,16,115
8000000,400000,2,261
8000000,800000,2,255
8000000,1200000,2,250
8000000,1600000,2,250
8000000,2000000,2,250
8000000,2400000,2,246
8000000,2800000,2,245
8000000,3200000,2,246
8000000,3600000,2,246
8000000,4000000,2,246
8000000,4400000,2,242
8000000,4800000,2,242
8000000,5200000,2,239
8000000,5600000,2,242
8000000,6000000,2,240
8000000,6400000,2,241
8000000,6800000,2,241
8000000,7200000,2,242
8000000,7600000,2,242
8000000,400000,4,271
8000000,800000,4,255
8000000,1200000,4,250
8000000,1600000,4,251
8000000,2000000,4,250
8000000,2400000,4,249
8000000,2800000,4,245
8000000,3200000,4,246
8000000,3600000,4,246
8000000,4000000,4,245
8000000,4400000,4,239
8000000,4800000,4,240
8000000,5200000,4,241
8000000,5600000,4,241
8000000,6000000,4,240
8000000,6400000,4,241
8000000,6800000,4,242
8000000,7200000,4,242
8000000,7600000,4,242
8000000,400000,8,259
8000000,800000,8,255
8000000,1200000,8,251
8000000,1600000,8,250
8000000,2000000,8,249
8000000,2400000,8,245
8000000,2800000,8,246
8000000,3200000,8,247
8000000,3600000,8,251
8000000,4000000,8,246
8000000,4400000,8,240
8000000,4800000,8,243
8000000,5200000,8,241
8000000,5600000,8,240
8000000,6000000,8,242
8000000,6400000,8,242
8000000,6800000,8,242
8000000,7200000,8,241
8000000,7600000,8,239
8000000,400000,16,260
8000000,800000,16,255
8000000,1200000,16,251
8000000,1600000,16,250
8000000,2000000,16,251
8000000,2400000,16,245
8000000,2800000,16,245
8000000,3200000,16,246
8000000,3600000,16,245
8000000,4000000,16,245
8000000,4400000,16,247
8000000,4800000,16,241
8000000,5200000,16,239
8000000,5600000,16,240
8000000,6000000,16,241
8000000,6400000,16,244
8000000,6800000,16,240
8000000,7200000,16,242
8000000,7600000,16,241
